Time,CPI Food
1988 JAN,48.2
1988 FEB,48.5
1988 MAR,48.6
1988 APR,48.9
1988 MAY,49
1988 JUN,49
1988 JUL,48.5
1988 AUG,48.7
1988 SEP,48.9
1988 OCT,48.9
1988 NOV,49.3
1988 DEC,49.7
1989 JAN,50.1
1989 FEB,50.2
1989 MAR,50.5
1989 APR,51.1
1989 MAY,51.5
1989 JUN,51.6
1989 JUL,51.3
1989 AUG,51.5
1989 SEP,51.9
1989 OCT,52.5
1989 NOV,53.1
1989 DEC,53.5
1990 JAN,54.3
1990 FEB,54.8
1990 MAR,55
1990 APR,55.5
1990 MAY,56.1
1990 JUN,56
1990 JUL,55.3
1990 AUG,55.9
1990 SEP,56.1
1990 OCT,56.1
1990 NOV,56.6
1990 DEC,57
1991 JAN,57.5
1991 FEB,58.2
1991 MAR,58.2
1991 APR,58.8
1991 MAY,58.6
1991 JUN,59.2
1991 JUL,58.3
1991 AUG,59
1991 SEP,58.4
1991 OCT,58.4
1991 NOV,59
1991 DEC,59.2
1992 JAN,59.7
1992 FEB,60
1992 MAR,60.1
1992 APR,59.8
1992 MAY,60.1
1992 JUN,59.8
1992 JUL,59
1992 AUG,59.2
1992 SEP,59
1992 OCT,59.2
1992 NOV,59.1
1992 DEC,59.7
1993 JAN,59.9
1993 FEB,60.5
1993 MAR,61
1993 APR,60.7
1993 MAY,61.4
1993 JUN,61.1
1993 JUL,61.1
1993 AUG,61
1993 SEP,60.8
1993 OCT,60.2
1993 NOV,59.9
1993 DEC,60.1
1994 JAN,60.4
1994 FEB,60.7
1994 MAR,61.1
1994 APR,61.3
1994 MAY,61.8
1994 JUN,61.8
1994 JUL,61.4
1994 AUG,61.5
1994 SEP,60.8
1994 OCT,60.7
1994 NOV,61
1994 DEC,61.6
1995 JAN,62.1
1995 FEB,62.4
1995 MAR,62.8
1995 APR,62.8
1995 MAY,63.9
1995 JUN,63.5
1995 JUL,63
1995 AUG,64.2
1995 SEP,64.3
1995 OCT,63.4
1995 NOV,63.4
1995 DEC,64.1
1996 JAN,64.5
1996 FEB,65.1
1996 MAR,65.6
1996 APR,65.6
1996 MAY,66.2
1996 JUN,66.1
1996 JUL,65.1
1996 AUG,66
1996 SEP,65.2
1996 OCT,64.6
1996 NOV,64.3
1996 DEC,64.4
1997 JAN,64.9
1997 FEB,64.7
1997 MAR,64.2
1997 APR,64.4
1997 MAY,64.9
1997 JUN,65.5
1997 JUL,65.1
1997 AUG,65.3
1997 SEP,65.1
1997 OCT,65.1
1997 NOV,64.9
1997 DEC,64.9
1998 JAN,64.8
1998 FEB,64.5
1998 MAR,64.3
1998 APR,64.6
1998 MAY,65.6
1998 JUN,65.3
1998 JUL,65.2
1998 AUG,66
1998 SEP,65.7
1998 OCT,65.8
1998 NOV,65.6
1998 DEC,66.3
1999 JAN,66.5
1999 FEB,66.5
1999 MAR,66
1999 APR,65.7
1999 MAY,66.2
1999 JUN,65.8
1999 JUL,65.1
1999 AUG,65
1999 SEP,64.8
1999 OCT,64.8
1999 NOV,65.1
1999 DEC,65.2
2000 JAN,65.2
2000 FEB,65.1
2000 MAR,64.5
2000 APR,64.3
2000 MAY,65
2000 JUN,65.3
2000 JUL,65.9
2000 AUG,65.3
2000 SEP,65.5
2000 OCT,65.5
2000 NOV,65.9
2000 DEC,66.1
2001 JAN,66.2
2001 FEB,66.3
2001 MAR,67.2
2001 APR,67.4
2001 MAY,69.5
2001 JUN,69.9
2001 JUL,68.4
2001 AUG,68.2
2001 SEP,68.1
2001 OCT,68.2
2001 NOV,68.2
2001 DEC,68.6
2002 JAN,69.2
2002 FEB,69.1
2002 MAR,69.3
2002 APR,69.1
2002 MAY,68.9
2002 JUN,68.3
2002 JUL,68.3
2002 AUG,68.2
2002 SEP,68.3
2002 OCT,68.4
2002 NOV,68.4
2002 DEC,68.4
2003 JAN,68.4
2003 FEB,68.9
2003 MAR,69.1
2003 APR,69.4
2003 MAY,69.8
2003 JUN,69.4
2003 JUL,69.4
2003 AUG,69.4
2003 SEP,70.1
2003 OCT,70.2
2003 NOV,70.5
2003 DEC,70.7
2004 JAN,70.5
2004 FEB,70.6
2004 MAR,70.6
2004 APR,70.5
2004 MAY,70.7
2004 JUN,70.2
2004 JUL,69.6
2004 AUG,69.4
2004 SEP,69.7
2004 OCT,69.8
2004 NOV,70.3
2004 DEC,70.7
2005 JAN,70.9
2005 FEB,71.4
2005 MAR,72.1
2005 APR,71.4
2005 MAY,71.9
2005 JUN,72
2005 JUL,70.9
2005 AUG,71.1
2005 SEP,71.2
2005 OCT,71
2005 NOV,71.5
2005 DEC,71.9
2006 JAN,71.6
2006 FEB,72.1
2006 MAR,71.6
2006 APR,71.4
2006 MAY,72.4
2006 JUN,73
2006 JUL,73.2
2006 AUG,73.5
2006 SEP,73.8
2006 OCT,74.2
2006 NOV,75
2006 DEC,75.2
2007 JAN,74.5
2007 FEB,75.1
2007 MAR,75.6
2007 APR,75.7
2007 MAY,76
2007 JUN,76.5
2007 JUL,75
2007 AUG,75.5
2007 SEP,76.6
2007 OCT,78
2007 NOV,78.9
2007 DEC,79.6
2008 JAN,79.4
2008 FEB,79.7
2008 MAR,80
2008 APR,81.2
2008 MAY,82.6
2008 JUN,84.6
2008 JUL,85.3
2008 AUG,86.5
2008 SEP,86.3
2008 OCT,86.7
2008 NOV,88.1
2008 DEC,88.8
2009 JAN,88.3
2009 FEB,89.6
2009 MAR,89
2009 APR,88.6
2009 MAY,89.6
2009 JUN,89.3
2009 JUL,88.8
2009 AUG,88.1
2009 SEP,87.3
2009 OCT,88.2
2009 NOV,89
2009 DEC,89.8
2010 JAN,89.5
2010 FEB,90.4
2010 MAR,90.6
2010 APR,90.9
2010 MAY,90.6
2010 JUN,90.8
2010 JUL,91.5
2010 AUG,91.6
2010 SEP,91.6
2010 OCT,91.9
2010 NOV,93.4
2010 DEC,94.9
2011 JAN,94.6
2011 FEB,95.6
2011 MAR,94.2
2011 APR,94.2
2011 MAY,95.5
2011 JUN,96.7
2011 JUL,96.8
2011 AUG,96.7
2011 SEP,97
2011 OCT,96.2
2011 NOV,96.9
2011 DEC,98.3
2012 JAN,97.8
2012 FEB,98.7
2012 MAR,98.5
2012 APR,98.2
2012 MAY,98.7
2012 JUN,98.6
2012 JUL,98.5
2012 AUG,98.7
2012 SEP,98.9
2012 OCT,99.4
2012 NOV,100.6
2012 DEC,102.2
2013 JAN,102.1
2013 FEB,102.8
2013 MAR,102.2
2013 APR,103.1
2013 MAY,103
2013 JUN,102.4
2013 JUL,102.8
2013 AUG,103.4
2013 SEP,103.6
2013 OCT,103.7
2013 NOV,103.6
2013 DEC,104.3
2014 JAN,104.3
2014 FEB,104.7
2014 MAR,104.2
2014 APR,103.6
2014 MAY,102.4
2014 JUN,102.4
2014 JUL,102.2
2014 AUG,102.1
2014 SEP,102
2014 OCT,102
2014 NOV,101.9
2014 DEC,102.4
2015 JAN,101.4
2015 FEB,101.1
2015 MAR,100.9
2015 APR,100.5
2015 MAY,100.6
2015 JUN,100.2
2015 JUL,99.5
2015 AUG,99.3
2015 SEP,99.4
2015 OCT,99
2015 NOV,99.1
2015 DEC,99.1
2016 JAN,98.5
2016 FEB,98.6
2016 MAR,97.9
2016 APR,97.9
2016 MAY,97.4
2016 JUN,96.9
2016 JUL,96.8
2016 AUG,97.4
2016 SEP,97.1
2016 OCT,96.9
2016 NOV,97.4
2016 DEC,98.1
2017 JAN,98.2
2017 FEB,98.9
2017 MAR,99.5
2017 APR,99.7
2017 MAY,99.8
2017 JUN,99.5
2017 JUL,99.5
2017 AUG,99.6
2017 SEP,100.4
2017 OCT,101
2017 NOV,101.6
2017 DEC,102.1
2018 JAN,102
2018 FEB,102.2
2018 MAR,102.4
2018 APR,102
2018 MAY,101.8
2018 JUN,101.2
2018 JUL,101.4
2018 AUG,101.7
2018 SEP,101.5
2018 OCT,101.4
2018 NOV,101.7
2018 DEC,102.5
2019 JAN,102.5
2019 FEB,102.9
2019 MAR,102.8
2019 APR,102.5
2019 MAY,102.6
2019 JUN,102.7
2019 JUL,102.8
2019 AUG,103.4
2019 SEP,103.1
2019 OCT,102.4
2019 NOV,103.5
2019 DEC,103.9
2020 JAN,103.7
2020 FEB,103.8
2020 MAR,103.9
2020 APR,103.8
2020 MAY,104.3
2020 JUN,103.7
2020 JUL,103.4
2020 AUG,103.7
2020 SEP,102.8
2020 OCT,102.9
2020 NOV,102.9
2020 DEC,102.3
2021 JAN,102.8
2021 FEB,103.3
2021 MAR,102.5
2021 APR,103.3
2021 MAY,103
2021 JUN,103.3
2021 JUL,102.9
2021 AUG,103.9
2021 SEP,103.8
2021 OCT,104.3
2021 NOV,105.4
2021 DEC,106.9
2022 JAN,107.5
2022 FEB,108.4
2022 MAR,108.4
2022 APR,110.2
